Messages, Size, Comm, Latency, Bandwidth
1, 256, inter-node, 2.285581, 0.109381
1024, 32, inter-node, 0.285955, 111.905719
1, 512, inter-node, 4.569124, 0.109430
1024, 8, intra-node, 0.002179, 3671.408903
1, 8, intra-node, 0.002972, 2.628701
1, 1, inter-node, 0.009496, 0.102839
1024, 512, intra-node, 0.065779, 7783.639155
1, 32, inter-node, 0.286019, 0.109258
1, 1024, inter-node, 9.136560, 0.109450
1024, 2, intra-node, 0.003579, 558.815312
1024, 16, intra-node, 0.003637, 4399.230135
1024, 1024, inter-node, 9.301677, 110.087676
1024, 64, inter-node, 0.772459, 82.852294
1, 64, intra-node, 0.019893, 3.141809
1, 128, inter-node, 1.142469, 0.109412
1, 4, intra-node, 0.001674, 2.333483
1, 32, intra-node, 0.010078, 3.100814
1024, 1, intra-node, 0.003488, 286.697248
1024, 1024, intra-node, 0.128768, 7952.286282
1024, 256, intra-node, 0.032889, 7783.757487
1024, 256, inter-node, 2.525856, 101.351779
1, 16, inter-node, 0.143551, 0.108846
1, 128, intra-node, 0.045140, 2.769163
1024, 2, inter-node, 0.018948, 105.552037
1024, 4, inter-node, 0.036931, 108.310092
1024, 128, intra-node, 0.017353, 7376.246182
1024, 32, intra-node, 0.006324, 5060.088552
1024, 1, inter-node, 0.009380, 106.609808
1024, 128, inter-node, 1.444951, 88.584319
1, 4, inter-node, 0.036555, 0.106860
1, 1024, intra-node, 0.313120, 3.193664
1, 2, inter-node, 0.018393, 0.106188
1, 256, intra-node, 0.078337, 3.191340
1, 16, intra-node, 0.005233, 2.985859
1, 64, inter-node, 0.571389, 0.109383
1024, 16, inter-node, 0.143351, 111.614150
1024, 4, intra-node, 0.001621, 2467.612585
1024, 32, inter-node, 0.286123, 111.840013
1024, 8, inter-node, 0.072048, 111.037086
1, 128, inter-node, 1.142626, 0.109397
1024, 2, inter-node, 0.018389, 108.760672
1024, 1, inter-node, 0.009637, 103.766732
1, 4, inter-node, 0.036137, 0.108096
1024, 256, inter-node, 2.593012, 98.726886
1, 2, inter-node, 0.018655, 0.104697
1024, 2, intra-node, 0.003711, 538.938292
1, 16, intra-node, 0.005407, 2.889773
1024, 512, inter-node, 4.685419, 109.275179
1024, 8, intra-node, 0.002128, 3759.398496
1, 8, inter-node, 0.071821, 0.108777
1024, 16, intra-node, 0.003614, 4427.227449
1, 32, inter-node, 0.286205, 0.109187
1, 1, intra-node, 0.000527, 1.853060
1024, 64, inter-node, 0.772432, 82.855190
1, 512, intra-node, 0.156380, 3.197340
1024, 256, intra-node, 0.033467, 7649.326202
1, 512, inter-node, 4.568603, 0.109443
1024, 4, intra-node, 0.001594, 2509.410289
1024, 128, inter-node, 1.365349, 93.748924
1024, 1024, intra-node, 0.128367, 7977.128078
1024, 32, intra-node, 0.006282, 5093.919134
1, 64, inter-node, 0.571570, 0.109348
1024, 1, intra-node, 0.003455, 289.435601
1, 1024, inter-node, 9.136529, 0.109451
1, 32, intra-node, 0.010163, 3.074879
1, 64, intra-node, 0.019903, 3.140230
1, 2, intra-node, 0.000991, 1.970863
1, 256, inter-node, 2.284288, 0.109443
1024, 128, intra-node, 0.017760, 7207.207207
1, 128, intra-node, 0.039365, 3.175410
1024, 1024, inter-node, 9.339394, 109.643088
1, 8, intra-node, 0.002899, 2.694895
1, 1, inter-node, 0.009524, 0.102537
1, 4, intra-node, 0.001691, 2.310024
1024, 16, inter-node, 0.144321, 110.863977
