Thread,Timestamp,PAPI_L2_DCH,PAPI_L2_DCA,PAPI_L2_TCM
51539607552,8542845879624720,897182,8843556,7885958
77309411328,8542845879624992,947311,8832160,7834023
25769803776,8542845879625012,975078,8855700,7829274
42949672960,8542845879625220,897853,8852832,7896161
90194313216,8542845879625232,873063,8830369,7897991
17179869184,8542845879625360,866831,8857916,7935896
68719476736,8542845879625372,897474,8834606,7884131
8589934592,8542845879625432,858780,8850737,7937234
60129542144,8542845879625446,919369,8848296,7876576
81604378624,8542845879625786,960136,8837624,7826137
73014444032,8542845879625788,762021,8814757,8006889
34359738368,8542845879625800,985089,8860965,7823897
12884901888,8542845879625808,750393,8834050,8038512
85899345920,8542845879626020,730028,8804750,8030359
21474836480,8542845879626028,665971,8828455,8114753
64424509440,8542845879626056,819918,8835030,7972393
4294967296,8542845879626068,709944,8838616,8081654
47244640256,8542845879626164,779446,8659057,7836437
55834574848,8542845879626172,749479,8675295,7881200
98784247808,8542845879626192,894663,8809826,7867550
38654705664,8542845879626200,810140,8833234,7974040
94489280512,8542845879626220,765938,8802691,7985429
30064771072,8542845879626228,715672,8826897,8060452
73014444032,8542845879633516,762046,8814789,8006904
12884901888,8542845879633524,750411,8834077,8038535
85899345920,8542845879633644,730058,8804787,8030379
21474836480,8542845879633652,666011,8828506,8114769
64424509440,8542845879633660,819948,8835068,7972406
4294967296,8542845879633668,709971,8838655,8081671
94489280512,8542845879635052,765944,8802727,7985533
38654705664,8542845879635320,810143,8833264,7974098
47244640256,8542845879635396,779450,8659093,7836532
98784247808,8542845879635424,894664,8809862,7867660
55834574848,8542845879635856,749483,8675333,7881283
30064771072,8542845879636204,715673,8826929,8060507
77309411328,8542845879638286,947316,8832196,7834106
25769803776,8542845879638326,975078,8855724,7829344
42949672960,8542845879638512,897854,8852861,7896204
90194313216,8542845879638526,873066,8830401,7898117
51539607552,8542845879638940,897195,8843608,7886041
17179869184,8542845879639000,866834,8857953,7936000
0,8542845879639006,1072686,10264558,9136281
68719476736,8542845879639012,897475,8834642,7884211
34359738368,8542845879639100,985093,8861004,7823998
60129542144,8542845879639140,919371,8848326,7876668
8589934592,8542845879639220,858781,8850770,7937320
81604378624,8542845879639420,960138,8837650,7826203
17179869184,8543074972740216,7360709542,8323714100,928600782
68719476736,8543074972740224,7370936168,8333462367,927650063
77309411328,8543076496936584,7259630189,8278206464,982517903
25769803776,8543076496936592,7276207357,8298792850,986960062
51539607552,8543078027847040,7336254749,8408119550,1033819074
90194313216,8543082102846932,7308923071,8580316700,1230892084
42949672960,8543082968214084,7345414106,8644139688,1258949445
8589934592,8543083601703112,7261355925,8589317971,1289761374
0,8543083682790740,7164116273,8304158009,1100593310
60129542144,8543084802876904,7286265558,8624154755,1300438989
98784247808,8543085669356512,7540816469,8622038048,1052015085
55834574848,8543086123602984,7497548636,8574133589,1046990647
73014444032,8543086793036084,7462389355,8573194728,1082039260
38654705664,8543086938189860,7520466911,8622992936,1073926067
47244640256,8543087511968060,7503445941,8634507340,1102048001
12884901888,8543088500492972,7459763879,8585168993,1097509887
85899345920,8543098896460348,7508948664,9311743749,1767858330
94489280512,8543099156587720,7525868448,9314237256,1753970375
4294967296,8543099698820104,7431598488,9028070092,1563323775
64424509440,8543101660881032,7351507240,8979450778,1595493972
30064771072,8543108200925972,7503372082,9698147076,2159737676
34359738368,8543108540842192,7411669157,10156477423,2696822432
81604378624,8543108725589672,7416279304,10159916103,2695050826
21474836480,8543110689309144,7442999406,9641456792,2161412040
21474836480,8543110689483172,7442999466,9641456930,2161412280
21474836480,8543110689490424,7442999506,9641456975,2161412312
21474836480,8543110689494660,7442999510,9641456985,2161412321
34359738368,8543110689690466,7411669175,10156477605,2696822835
51539607552,8543110689690566,7336254764,8408119678,1033819363
