"name","run.no.in.std.order","run.no","run.no.std.rp","versions","threads","sampling","use","tempo"
"124","19",124,"19.2","ft.B","8","100","com",""
"125","22",125,"22.2","ft.B","16","100","com",""
"126","102",126,"102.2","lu.B","24","150","sem",""
"127","59",127,"59.2","cg.B","32","200","com",""
"128","72",128,"72.2","lu.B","24","50","sem",""
"129","31",129,"31.2","ft.B","1","150","com",""
"130","1",130,"1.2","ft.B","1","50","com",""
"131","14",131,"14.2","cg.B","32","50","com",""
"132","70",132,"70.2","ft.B","24","50","sem",""
"133","60",133,"60.2","lu.B","32","200","com",""
"134","11",134,"11.2","cg.B","24","50","com",""
"135","86",135,"86.2","cg.B","24","100","sem",""
"136","78",136,"78.2","lu.B","1","100","sem",""
"137","43",137,"43.2","ft.B","32","150","com",""
"138","52",138,"52.2","ft.B","16","200","com",""
"139","28",139,"28.2","ft.B","32","100","com",""
"140","42",140,"42.2","lu.B","24","150","com",""
"141","13",141,"13.2","ft.B","32","50","com",""
"142","98",142,"98.2","cg.B","16","150","sem",""
"143","5",143,"5.2","cg.B","8","50","com",""
"144","87",144,"87.2","lu.B","24","100","sem",""
"145","117",145,"117.2","lu.B","24","200","sem",""
"146","104",146,"104.2","cg.B","32","150","sem",""
"147","96",147,"96.2","lu.B","8","150","sem",""
"148","107",148,"107.2","cg.B","1","200","sem",""
"149","68",149,"68.2","cg.B","16","50","sem",""
"150","82",150,"82.2","ft.B","16","100","sem",""
"151","21",151,"21.2","lu.B","8","100","com",""
"152","74",152,"74.2","cg.B","32","50","sem",""
"153","88",153,"88.2","ft.B","32","100","sem",""
"154","48",154,"48.2","lu.B","1","200","com",""
"155","91",155,"91.2","ft.B","1","150","sem",""
"156","55",156,"55.2","ft.B","24","200","com",""
"157","24",157,"24.2","lu.B","16","100","com",""
"158","34",158,"34.2","ft.B","8","150","com",""
"159","112",159,"112.2","ft.B","16","200","sem",""
"160","61",160,"61.2","ft.B","1","50","sem",""
"161","73",161,"73.2","ft.B","32","50","sem",""
"162","75",162,"75.2","lu.B","32","50","sem",""
"163","56",163,"56.2","cg.B","24","200","com",""
"164","90",164,"90.2","lu.B","32","100","sem",""
"165","110",165,"110.2","cg.B","8","200","sem",""
"166","89",166,"89.2","cg.B","32","100","sem",""
"167","80",167,"80.2","cg.B","8","100","sem",""
"168","25",168,"25.2","ft.B","24","100","com",""
"169","83",169,"83.2","cg.B","16","100","sem",""
"170","40",170,"40.2","ft.B","24","150","com",""
"171","37",171,"37.2","ft.B","16","150","com",""
"172","16",172,"16.2","ft.B","1","100","com",""
"173","58",173,"58.2","ft.B","32","200","com",""
"174","15",174,"15.2","lu.B","32","50","com",""
"175","4",175,"4.2","ft.B","8","50","com",""
"176","12",176,"12.2","lu.B","24","50","com",""
"177","109",177,"109.2","ft.B","8","200","sem",""
"178","3",178,"3.2","lu.B","1","50","com",""
"179","41",179,"41.2","cg.B","24","150","com",""
"180","66",180,"66.2","lu.B","8","50","sem",""
"181","7",181,"7.2","ft.B","16","50","com",""
"182","23",182,"23.2","cg.B","16","100","com",""
"183","76",183,"76.2","ft.B","1","100","sem",""
"184","30",184,"30.2","lu.B","32","100","com",""
"185","20",185,"20.2","cg.B","8","100","com",""
"186","2",186,"2.2","cg.B","1","50","com",""
"187","57",187,"57.2","lu.B","24","200","com",""
"188","71",188,"71.2","cg.B","24","50","sem",""
