"name","run.no.in.std.order","run.no","run.no.std.rp","versions","threads","time"
"name","run.no.in.std.order","run.no","run.no.std.rp","versions","threads","time"
"140","3",140,"3.10",ft.B,1,70.24
"141","2",141,"2.11",cg.B,1,109.30
"142","13",142,"13.11",mg.B,32,3.66
"143","1",143,"1.11",bt.B,1,260.97
"144","10",144,"10.11",ft.B,32,7.65
"145","14",145,"14.11",sp.B,32,62.42
"146","4",146,"4.11",is.B,1,
"147","11",147,"11.11",is.B,32,
"148","12",148,"12.11",lu.B,32,32.16
"149","5",149,"5.11",lu.B,1,210.65
"150","6",150,"6.11",mg.B,1,11.12
"151","7",151,"7.11",sp.B,1,208.96
"152","3",152,"3.11",ft.B,1,70.22
"153","8",153,"8.11",bt.B,32,37.29
"154","9",154,"9.11",cg.B,32,23.26
"155","14",155,"14.12",sp.B,32,54.96
"156","9",156,"9.12",cg.B,32,25.43
"157","4",157,"4.12",is.B,1,
"158","5",158,"5.12",lu.B,1,210.66
"159","12",159,"12.12",lu.B,32,36.77
"160","7",160,"7.12",sp.B,1,208.12
"161","8",161,"8.12",bt.B,32,35.08
"162","13",162,"13.12",mg.B,32,3.84
"163","11",163,"11.12",is.B,32,
"164","2",164,"2.12",cg.B,1,108.77
"165","1",165,"1.12",bt.B,1,261.12
"166","3",166,"3.12",ft.B,1,70.26
"167","6",167,"6.12",mg.B,1,11.13
"168","10",168,"10.12",ft.B,32,7.66
"169","7",169,"7.13",sp.B,1,207.81
"170","8",170,"8.13",bt.B,32,35.04
"171","14",171,"14.13",sp.B,32,59.18
"172","3",172,"3.13",ft.B,1,70.27
"173","9",173,"9.13",cg.B,32,30.89
"174","2",174,"2.13",cg.B,1,109.65
"175","1",175,"1.13",bt.B,1,262.00
"176","10",176,"10.13",ft.B,32,7.60
"177","4",177,"4.13",is.B,1,
"178","13",178,"13.13",mg.B,32,4.22
"179","11",179,"11.13",is.B,32,
"180","5",180,"5.13",lu.B,1,211.18
"181","6",181,"6.13",mg.B,1,11.11
"182","12",182,"12.13",lu.B,32,32.84
"183","4",183,"4.14",is.B,1,
"184","7",184,"7.14",sp.B,1,207.95
"185","5",185,"5.14",lu.B,1,210.51
"186","1",186,"1.14",bt.B,1,261.27
"187","6",187,"6.14",mg.B,1,11.13
"188","13",188,"13.14",mg.B,32,3.76
"189","2",189,"2.14",cg.B,1,108.59
"190","12",190,"12.14",lu.B,32,33.68
"191","10",191,"10.14",ft.B,32,7.47
"192","8",192,"8.14",bt.B,32,37.31
"193","3",193,"3.14",ft.B,1,70.19
"194","14",194,"14.14",sp.B,32,53.92
"195","11",195,"11.14",is.B,32,
"196","9",196,"9.14",cg.B,32,26.88
"197","11",197,"11.15",is.B,32,
"198","3",198,"3.15",ft.B,1,70.21
"199","7",199,"7.15",sp.B,1,207.63
"200","13",200,"13.15",mg.B,32,3.86
"201","9",201,"9.15",cg.B,32,26.49
"202","4",202,"4.15",is.B,1,
"203","14",203,"14.15",sp.B,32,55.39
"204","10",204,"10.15",ft.B,32,8.96
"205","2",205,"2.15",cg.B,1,108.25
"206","5",206,"5.15",lu.B,1,211.20
"207","6",207,"6.15",mg.B,1,11.12
"208","1",208,"1.15",bt.B,1,261.73
"209","12",209,"12.15",lu.B,32,36.01
"210","8",210,"8.15",bt.B,32,37.96
"211","4",211,"4.16",is.B,1,
"212","7",212,"7.16",sp.B,1,208.15
"213","6",213,"6.16",mg.B,1,11.15
"214","8",214,"8.16",bt.B,32,34.68
"215","10",215,"10.16",ft.B,32,7.93
"216","9",216,"9.16",cg.B,32,22.53
"217","12",217,"12.16",lu.B,32,31.99
"218","11",218,"11.16",is.B,32,
"219","1",219,"1.16",bt.B,1,263.53
"220","14",220,"14.16",sp.B,32,53.57
"221","13",221,"13.16",mg.B,32,3.53
"222","5",222,"5.16",lu.B,1,211.69
"223","3",223,"3.16",ft.B,1,70.18
