Time Core Metric Value
9.9299986237411 22 M7 0.41730584791965
9.9299986237411 23 M7 0.4168112366069
9.9299986237411 24 M7 0.41713669470816
9.9299986237411 25 M7 0.41645874251492
9.9299986237411 26 M7 0.41660393274975
9.9299986237411 27 M7 0.41696953438173
9.9299986237411 28 M7 0.41533446557679
9.9299986237411 29 M7 0.41668431061451
9.9299986237411 30 M7 0.41575271310095
9.9299986237411 31 M7 0.41588965800014
9.9299986237411 32 M7 0.41689157134017
9.9950837121508 1 M1 0.059895355313316
9.9950837121508 2 M1 0.059895355313316
9.9950837121508 3 M1 0.059895355313316
9.9950837121508 4 M1 0.059895355313316
9.9950837121508 5 M1 0.059895355313316
9.9950837121508 6 M1 0.059895355313316
9.9950837121508 7 M1 0.059895355313316
9.9950837121508 8 M1 0.059895355313316
9.9950837121508 9 M1 0.059895355313316
9.9950837121508 10 M1 0.059895355313316
9.9950837121508 11 M1 0.059895355313316
9.9950837121508 12 M1 0.059895355313316
9.9950837121508 13 M1 0.059895355313316
9.9950837121508 14 M1 0.059895355313316
9.9950837121508 15 M1 0.059895355313316
9.9950837121508 16 M1 0.059895355313316
9.9950837121508 17 M1 0.059895355313316
9.9950837121508 18 M1 0.059895355313316
9.9950837121508 19 M1 0.059895355313316
9.9950837121508 20 M1 0.059895355313316
9.9950837121508 21 M1 0.059895355313316
9.9950837121508 22 M1 0.059895355313316
9.9950837121508 23 M1 0.059895355313316
9.9950837121508 24 M1 0.059895355313316
9.9950837121508 25 M1 0.059895355313316
9.9950837121508 26 M1 0.059895355313316
9.9950837121508 27 M1 0.059895355313316
9.9950837121508 28 M1 0.059895355313316
9.9950837121508 29 M1 0.059895355313316
9.9950837121508 30 M1 0.059895355313316
9.9950837121508 31 M1 0.059895355313316
9.9950837121508 32 M1 0.059895355313316
9.9950837121508 1 M2 0.062431716845733
9.9950837121508 2 M2 0.075848089260648
9.9950837121508 3 M2 0.074497363811381
9.9950837121508 4 M2 0.035598275503812
9.9950837121508 5 M2 0.075095996203938
9.9950837121508 6 M2 0.074289602704544
9.9950837121508 7 M2 0.075145643565841
9.9950837121508 8 M2 0.074162229493282
9.9950837121508 9 M2 0.072283640880047
9.9950837121508 10 M2 0.074819690407131
9.9950837121508 11 M2 0.073694699876735
9.9950837121508 12 M2 0.072505709235264
9.9950837121508 13 M2 0.072408682550833
9.9950837121508 14 M2 0.072364996792426
9.9950837121508 15 M2 0.070698654863899
9.9950837121508 16 M2 0.07156358337949
9.9950837121508 17 M2 0.074018352995514
9.9950837121508 18 M2 0.07507210878924
9.9950837121508 19 M2 0.074487789645168
9.9950837121508 20 M2 0.065279363282295
9.9950837121508 21 M2 0.075059105563498
9.9950837121508 22 M2 0.071520742135744
9.9950837121508 23 M2 0.075016580325238
9.9950837121508 24 M2 0.070997510552183
9.9950837121508 25 M2 0.072874732641695
9.9950837121508 26 M2 0.074881802985436
9.9950837121508 27 M2 0.074090710751681
9.9950837121508 28 M2 0.073010014990264
9.9950837121508 29 M2 0.070503667478821
9.9950837121508 30 M2 0.073067880494838
9.9950837121508 31 M2 0.070542562154052
9.9950837121508 32 M2 0.071070335816466
9.9950837121508 1 M3 2408.2705450177
9.9950837121508 2 M3 2403.9607908161
9.9950837121508 3 M3 2400.6686640687
9.9950837121508 4 M3 2412.1329200462
9.9950837121508 5 M3 2401.659267893
9.9950837121508 6 M3 2400.4724010661
9.9950837121508 7 M3 2401.815974973
9.9950837121508 8 M3 2400.1099903124
9.9950837121508 9 M3 2401.521265548
9.9950837121508 10 M3 2409.9861639585
9.9950837121508 11 M3 2410.9261985037
9.9950837121508 12 M3 2402.3915429795
9.9950837121508 13 M3 2401.0049031038
9.9950837121508 14 M3 2401.7915312334
9.9950837121508 15 M3 2399.0963763183
9.9950837121508 16 M3 2399.7524712134
9.9950837121508 17 M3 2401.4339027615
