Time Core Metric Value
0.030827197590428 1 M1 0.031036229416518
0.030827197590428 2 M1 0.031036229416518
0.030827197590428 3 M1 0.031036229416518
0.030827197590428 4 M1 0.031036229416518
0.030827197590428 5 M1 0.031036229416518
0.030827197590428 6 M1 0.031036229416518
0.030827197590428 7 M1 0.031036229416518
0.030827197590428 8 M1 0.031036229416518
0.030827197590428 9 M1 0.031036229416518
0.030827197590428 10 M1 0.031036229416518
0.030827197590428 11 M1 0.031036229416518
0.030827197590428 12 M1 0.031036229416518
0.030827197590428 13 M1 0.031036229416518
0.030827197590428 14 M1 0.031036229416518
0.030827197590428 15 M1 0.031036229416518
0.030827197590428 16 M1 0.031036229416518
0.030827197590428 17 M1 0.031036229416518
0.030827197590428 18 M1 0.031036229416518
0.030827197590428 19 M1 0.031036229416518
0.030827197590428 20 M1 0.031036229416518
0.030827197590428 21 M1 0.031036229416518
0.030827197590428 22 M1 0.031036229416518
0.030827197590428 23 M1 0.031036229416518
0.030827197590428 24 M1 0.031036229416518
0.030827197590428 25 M1 0.031036229416518
0.030827197590428 26 M1 0.031036229416518
0.030827197590428 27 M1 0.031036229416518
0.030827197590428 28 M1 0.031036229416518
0.030827197590428 29 M1 0.031036229416518
0.030827197590428 30 M1 0.031036229416518
0.030827197590428 31 M1 0.031036229416518
0.030827197590428 32 M1 0.031036229416518
0.030827197590428 1 M2 0.01094160656888
0.030827197590428 2 M2 0.0039005165847964
0.030827197590428 3 M2 0.0087613616677029
0.030827197590428 4 M2 0.008969179991899
0.030827197590428 5 M2 0.018202351395624
0.030827197590428 6 M2 0.0044354544192981
0.030827197590428 7 M2 0.0063195163584301
0.030827197590428 8 M2 0.0055957517293591
0.030827197590428 9 M2 0.00034698904130206
0.030827197590428 10 M2 0.0
0.030827197590428 11 M2 0.0
0.030827197590428 12 M2 0.0
0.030827197590428 13 M2 0.0
0.030827197590428 14 M2 0.0
0.030827197590428 15 M2 0.0
0.030827197590428 16 M2 0.0
0.030827197590428 17 M2 0.012953801207898
0.030827197590428 18 M2 0.028501782462711
0.030827197590428 19 M2 0.030310532284357
0.030827197590428 20 M2 0.013591102202086
0.030827197590428 21 M2 0.015793699138132
0.030827197590428 22 M2 0.016133774668649
0.030827197590428 23 M2 0.01992869158871
0.030827197590428 24 M2 0.025415133147546
0.030827197590428 25 M2 0.0
0.030827197590428 26 M2 0.024425731104081
0.030827197590428 27 M2 0.0
0.030827197590428 28 M2 0.0
0.030827197590428 29 M2 0.0
0.030827197590428 30 M2 0.0
0.030827197590428 31 M2 0.0
0.030827197590428 32 M2 0.0
