Time Core Metric Value
0.11084509282174 1 M1 0.1110411807398
0.11084509282174 2 M1 0.1110411807398
0.11084509282174 3 M1 0.1110411807398
0.11084509282174 4 M1 0.1110411807398
0.11084509282174 5 M1 0.1110411807398
0.11084509282174 6 M1 0.1110411807398
0.11084509282174 7 M1 0.1110411807398
0.11084509282174 8 M1 0.1110411807398
0.11084509282174 9 M1 0.1110411807398
0.11084509282174 10 M1 0.1110411807398
0.11084509282174 11 M1 0.1110411807398
0.11084509282174 12 M1 0.1110411807398
0.11084509282174 13 M1 0.1110411807398
0.11084509282174 14 M1 0.1110411807398
0.11084509282174 15 M1 0.1110411807398
0.11084509282174 16 M1 0.1110411807398
0.11084509282174 17 M1 0.1110411807398
0.11084509282174 18 M1 0.1110411807398
0.11084509282174 19 M1 0.1110411807398
0.11084509282174 20 M1 0.1110411807398
0.11084509282174 21 M1 0.1110411807398
0.11084509282174 22 M1 0.1110411807398
0.11084509282174 23 M1 0.1110411807398
0.11084509282174 24 M1 0.1110411807398
0.11084509282174 25 M1 0.1110411807398
0.11084509282174 26 M1 0.1110411807398
0.11084509282174 27 M1 0.1110411807398
0.11084509282174 28 M1 0.1110411807398
0.11084509282174 29 M1 0.1110411807398
0.11084509282174 30 M1 0.1110411807398
0.11084509282174 31 M1 0.1110411807398
0.11084509282174 32 M1 0.1110411807398
0.11084509282174 1 M2 0.070402045596841
0.11084509282174 2 M2 0.052794592557831
0.11084509282174 3 M2 0.082773133471944
0.11084509282174 4 M2 0.052518156968472
0.11084509282174 5 M2 0.035726337168388
0.11084509282174 6 M2 0.077624727995567
0.11084509282174 7 M2 0.06759794411851
0.11084509282174 8 M2 0.071760217992459
0.11084509282174 9 M2 0.092317767821061
0.11084509282174 10 M2 0.087418770376421
0.11084509282174 11 M2 0.093511320865711
0.11084509282174 12 M2 0.091306536665121
0.11084509282174 13 M2 0.093745957865956
0.11084509282174 14 M2 0.097114966548667
0.11084509282174 15 M2 0.086762963478244
0.11084509282174 16 M2 0.084086138771266
0.11084509282174 17 M2 0.02847573621014
0.11084509282174 18 M2 0.086450527312131
0.11084509282174 19 M2 0.091951195539531
0.11084509282174 20 M2 0.085481700746597
0.11084509282174 21 M2 0.076632491880124
0.11084509282174 22 M2 0.028501082264178
0.11084509282174 23 M2 0.029765838960633
0.11084509282174 24 M2 0.074845337069918
0.11084509282174 25 M2 0.089766079880874
0.11084509282174 26 M2 0.092899343560978
0.11084509282174 27 M2 0.093427750187539
0.11084509282174 28 M2 0.098124274700508
0.11084509282174 29 M2 0.099480389591738
0.11084509282174 30 M2 0.091526335633732
0.11084509282174 31 M2 0.081773533840802
0.11084509282174 32 M2 0.08318115784185
0.11084509282174 1 M3 2401.870184983
0.11084509282174 2 M3 2400.3484260313
0.11084509282174 3 M3 2400.0656618866
0.11084509282174 4 M3 2400.4335316908
0.11084509282174 5 M3 2400.0089233554
0.11084509282174 6 M3 2400.3501988877
0.11084509282174 7 M3 2400.4661853422
0.11084509282174 8 M3 2400.088164145
0.11084509282174 9 M3 2400.8583775582
0.11084509282174 10 M3 2400.4416988139
0.11084509282174 11 M3 2400.4441492726
0.11084509282174 12 M3 2400.962301258
0.11084509282174 13 M3 2400.9978926428
0.11084509282174 14 M3 2400.7429186354
0.11084509282174 15 M3 2400.5797498544
0.11084509282174 16 M3 2401.1977814754
0.11084509282174 17 M3 2399.9978752356
0.11084509282174 18 M3 2400.4564520864
0.11084509282174 19 M3 2400.1136868945
0.11084509282174 20 M3 2400.2745124706
0.11084509282174 21 M3 2400.1570133852
0.11084509282174 22 M3 2400.5013708466
0.11084509282174 23 M3 2400.4025740911
0.11084509282174 24 M3 2400.182725244
0.11084509282174 25 M3 2400.6359869437
0.11084509282174 26 M3 2400.4002806987
0.11084509282174 27 M3 2401.1666102417
0.11084509282174 28 M3 2400.8370865313
0.11084509282174 29 M3 2400.7500876623
0.11084509282174 30 M3 2400.7041476915
0.11084509282174 31 M3 2400.7201339551
0.11084509282174 32 M3 2401.0954974273
0.11084509282174 1 M4 3.0075972038643
0.11084509282174 2 M4 3.3936420218463
0.11084509282174 3 M4 3.4380385878527
0.11084509282174 4 M4 3.4196576164998
0.11084509282174 5 M4 3.2926479632431
0.11084509282174 6 M4 2.9640636803221
0.11084509282174 7 M4 2.9046294468112
0.11084509282174 8 M4 3.3021347227872
0.11084509282174 9 M4 3.4567901840153
0.11084509282174 10 M4 3.4438509748035
0.11084509282174 11 M4 3.5016966604677
0.11084509282174 12 M4 3.4137787064173
0.11084509282174 13 M4 3.4058069037722
0.11084509282174 14 M4 3.472813717725
0.11084509282174 15 M4 3.3840374767418
0.11084509282174 16 M4 3.4397997325917
0.11084509282174 17 M4 3.2576887352539
0.11084509282174 18 M4 3.1392498341097
0.11084509282174 19 M4 3.3813038544698
0.11084509282174 20 M4 3.1818091334427
0.11084509282174 21 M4 2.9482215046968
0.11084509282174 22 M4 3.258574574494
0.11084509282174 23 M4 3.1138784136696
0.11084509282174 24 M4 3.4469429828534
0.11084509282174 25 M4 3.4542577812817
0.11084509282174 26 M4 3.4240937411229
0.11084509282174 27 M4 3.3580304985309
0.11084509282174 28 M4 3.4359710286669
0.11084509282174 29 M4 3.4872485957391
0.11084509282174 30 M4 3.4386123117092
0.11084509282174 31 M4 3.3729622377598
0.11084509282174 32 M4 3.4763912850848
0.11084509282174 1 M5 4.6446372615378e-05
0.11084509282174 2 M5 7.0164753422699e-05
0.11084509282174 3 M5 3.0191777570796e-05
0.11084509282174 4 M5 3.5861500545224e-05
