Time Core Metric Value
1.6132979063211 22 M7 0.0025289312060788
1.6132979063211 23 M7 0.0017938762471126
1.6132979063211 24 M7 0.0016720947353972
1.6132979063211 25 M7 0.0023173431734317
1.6132979063211 26 M7 0.0026513638179639
1.6132979063211 27 M7 0.0034068584786014
1.6132979063211 28 M7 0.0031747024693868
1.6132979063211 29 M7 0.0064494330660148
1.6132979063211 30 M7 0.0025877010961111
1.6132979063211 31 M7 0.001133330350885
1.6132979063211 32 M7 0.0026168126960982
1.7699832371651 1 M1 0.1233372369833
1.7699832371651 2 M1 0.1233372369833
1.7699832371651 3 M1 0.1233372369833
1.7699832371651 4 M1 0.1233372369833
1.7699832371651 5 M1 0.1233372369833
1.7699832371651 6 M1 0.1233372369833
1.7699832371651 7 M1 0.1233372369833
1.7699832371651 8 M1 0.1233372369833
1.7699832371651 9 M1 0.1233372369833
1.7699832371651 10 M1 0.1233372369833
1.7699832371651 11 M1 0.1233372369833
1.7699832371651 12 M1 0.1233372369833
1.7699832371651 13 M1 0.1233372369833
1.7699832371651 14 M1 0.1233372369833
1.7699832371651 15 M1 0.1233372369833
1.7699832371651 16 M1 0.1233372369833
1.7699832371651 17 M1 0.1233372369833
1.7699832371651 18 M1 0.1233372369833
1.7699832371651 19 M1 0.1233372369833
1.7699832371651 20 M1 0.1233372369833
1.7699832371651 21 M1 0.1233372369833
1.7699832371651 22 M1 0.1233372369833
1.7699832371651 23 M1 0.1233372369833
1.7699832371651 24 M1 0.1233372369833
1.7699832371651 25 M1 0.1233372369833
1.7699832371651 26 M1 0.1233372369833
1.7699832371651 27 M1 0.1233372369833
1.7699832371651 28 M1 0.1233372369833
1.7699832371651 29 M1 0.1233372369833
1.7699832371651 30 M1 0.1233372369833
1.7699832371651 31 M1 0.1233372369833
1.7699832371651 32 M1 0.1233372369833
1.7699832371651 1 M2 0.14225289334123
1.7699832371651 2 M2 0.15499071129345
1.7699832371651 3 M2 0.16804012217405
1.7699832371651 4 M2 0.16130436460492
1.7699832371651 5 M2 0.16815771052441
1.7699832371651 6 M2 0.16649953558389
1.7699832371651 7 M2 0.16550808612987
1.7699832371651 8 M2 0.16550238311288
1.7699832371651 9 M2 0.14322992325228
1.7699832371651 10 M2 0.14762321184205
1.7699832371651 11 M2 0.13551832177564
1.7699832371651 12 M2 0.1301504807822
1.7699832371651 13 M2 0.12975424060161
1.7699832371651 14 M2 0.13439491042844
1.7699832371651 15 M2 0.12522773361492
1.7699832371651 16 M2 0.13323616147596
1.7699832371651 17 M2 0.1335376368742
1.7699832371651 18 M2 0.14637407612026
1.7699832371651 19 M2 0.1539828057904
1.7699832371651 20 M2 0.14710832230794
1.7699832371651 21 M2 0.15429276671393
1.7699832371651 22 M2 0.15242669765399
1.7699832371651 23 M2 0.15160331670074
1.7699832371651 24 M2 0.14468244408006
1.7699832371651 25 M2 0.13404359788171
1.7699832371651 26 M2 0.1327470980188
1.7699832371651 27 M2 0.12357552169217
1.7699832371651 28 M2 0.099941175273845
1.7699832371651 29 M2 0.10324163560754
1.7699832371651 30 M2 0.12856022554405
1.7699832371651 31 M2 0.11140737743729
1.7699832371651 32 M2 0.11895097941339
1.7699832371651 1 M3 2404.6649941601
1.7699832371651 2 M3 2399.9926866309
1.7699832371651 3 M3 2402.4688316846
1.7699832371651 4 M3 2399.7667142198
1.7699832371651 5 M3 2404.1171666502
1.7699832371651 6 M3 2402.8138916702
1.7699832371651 7 M3 2402.3804445562
1.7699832371651 8 M3 2404.1414347895
1.7699832371651 9 M3 2406.7875403278
1.7699832371651 10 M3 2405.2438140005
1.7699832371651 11 M3 2399.167042955
1.7699832371651 12 M3 2407.2805135325
1.7699832371651 13 M3 2399.3944145725
1.7699832371651 14 M3 2399.5096068104
1.7699832371651 15 M3 2399.7185994679
1.7699832371651 16 M3 2400.0445930464
1.7699832371651 17 M3 2399.35296661
1.7699832371651 18 M3 2399.6598528503
1.7699832371651 19 M3 2402.3690802285
1.7699832371651 20 M3 2399.6681691706
1.7699832371651 21 M3 2404.4469703761
1.7699832371651 22 M3 2402.8896219409
1.7699832371651 23 M3 2402.8419858667
1.7699832371651 24 M3 2402.7105414156
1.7699832371651 25 M3 2405.9927266995
1.7699832371651 26 M3 2405.542796293
1.7699832371651 27 M3 2399.0899712997
1.7699832371651 28 M3 2401.9018926354
1.7699832371651 29 M3 2420.0852997417
1.7699832371651 30 M3 2405.19107855
1.7699832371651 31 M3 2399.7091564862
1.7699832371651 32 M3 2399.2328641847
1.7699832371651 1 M4 1.5234863486105
1.7699832371651 2 M4 1.6850060803193
1.7699832371651 3 M4 1.7355504461843
1.7699832371651 4 M4 1.692693207646
1.7699832371651 5 M4 1.7369803526092
1.7699832371651 6 M4 1.7085168960623
1.7699832371651 7 M4 1.7332357452927
1.7699832371651 8 M4 1.709020874863
1.7699832371651 9 M4 1.4822541100291
1.7699832371651 10 M4 1.5246142578635
1.7699832371651 11 M4 1.4051650313503
1.7699832371651 12 M4 1.1081475123194
1.7699832371651 13 M4 1.326323405284
1.7699832371651 14 M4 1.3862439140413
1.7699832371651 15 M4 1.2922999199599
1.7699832371651 16 M4 1.3456201376294
1.7699832371651 17 M4 1.3381769345285
1.7699832371651 18 M4 1.490174305081
1.7699832371651 19 M4 1.5299191102624
1.7699832371651 20 M4 1.4841226380328
1.7699832371651 21 M4 1.5239395079435
1.7699832371651 22 M4 1.5236404697239
1.7699832371651 23 M4 1.5068950352092
1.7699832371651 24 M4 1.4292493670562
1.7699832371651 25 M4 1.3077101414516
1.7699832371651 26 M4 1.3227146962763
1.7699832371651 27 M4 1.2247650617099
1.7699832371651 28 M4 1.1124149679674
1.7699832371651 29 M4 0.98671533533172
1.7699832371651 30 M4 1.2335197100807
1.7699832371651 31 M4 1.1247107813469
1.7699832371651 32 M4 1.139898308764
1.7699832371651 1 M5 0.00026865470727908
1.7699832371651 2 M5 0.00026359208562456
1.7699832371651 3 M5 0.00026115702499285
1.7699832371651 4 M5 0.00025803713956446
1.7699832371651 5 M5 0.00035438091637159
1.7699832371651 6 M5 0.00025841777550839
1.7699832371651 7 M5 0.00025722348704554
1.7699832371651 8 M5 0.00031292608948086
1.7699832371651 9 M5 0.00030901947190925
1.7699832371651 10 M5 0.00032254949049488
1.7699832371651 11 M5 0.00026231463122754
1.7699832371651 12 M5 0.00023116796860483
1.7699832371651 13 M5 0.00042391833979725
1.7699832371651 14 M5 0.00026385076630426
1.7699832371651 15 M5 0.00032287255023296
1.7699832371651 16 M5 0.00044283792107944
1.7699832371651 17 M5 0.00025769187948801
1.7699832371651 18 M5 0.0002715774267161
1.7699832371651 19 M5 0.00025290284689389
1.7699832371651 20 M5 0.00026623220092949
1.7699832371651 21 M5 0.00027138328232746
1.7699832371651 22 M5 0.00025577723577192
1.7699832371651 23 M5 0.00027222567125046
1.7699832371651 24 M5 0.00030276786503512
1.7699832371651 25 M5 0.00027501847713666
1.7699832371651 26 M5 0.00032401616449382
1.7699832371651 27 M5 0.00026660636651293
1.7699832371651 28 M5 0.00033671064145388
1.7699832371651 29 M5 0.00049070264657728
1.7699832371651 30 M5 0.00029648908555242
1.7699832371651 31 M5 0.00033350052770486
1.7699832371651 32 M5 0.00040535313123684
1.7699832371651 1 M6 2.7374480190526e-06
1.7699832371651 2 M6 8.3782935171558e-07
1.7699832371651 3 M6 2.3624669117131e-06
1.7699832371651 4 M6 1.7962790771968e-06
1.7699832371651 5 M6 4.8044651648265e-06
1.7699832371651 6 M6 2.7840971704763e-06
1.7699832371651 7 M6 2.1270584731904e-06
1.7699832371651 8 M6 3.0981857187739e-06
1.7699832371651 9 M6 2.2951715150016e-06
1.7699832371651 10 M6 2.3184275493272e-06
1.7699832371651 11 M6 1.2427765946482e-06
1.7699832371651 12 M6 1.6002102986539e-06
1.7699832371651 13 M6 4.1988997711885e-06
1.7699832371651 14 M6 1.3659553747654e-06
1.7699832371651 15 M6 2.279746237073e-06
1.7699832371651 16 M6 5.4302961919069e-06
1.7699832371651 17 M6 2.0405465570318e-06
1.7699832371651 18 M6 1.2700175105154e-06
1.7699832371651 19 M6 1.4863733677136e-06
1.7699832371651 20 M6 1.1455735445101e-06
1.7699832371651 21 M6 1.1468799634323e-06
1.7699832371651 22 M6 1.8573784041531e-06
1.7699832371651 23 M6 1.2097923008415e-06
1.7699832371651 24 M6 1.3208508450506e-06
1.7699832371651 25 M6 6.6039303264922e-07
1.7699832371651 26 M6 1.2134763560536e-06
1.7699832371651 27 M6 6.9848503923178e-07
1.7699832371651 28 M6 1.6747594849003e-06
1.7699832371651 29 M6 3.7514568733122e-06
1.7699832371651 30 M6 1.3522086638263e-06
1.7699832371651 31 M6 1.8251000257476e-06
1.7699832371651 32 M6 3.7378119524412e-06
1.7699832371651 1 M7 0.010189466050222
